Product Id,Contractor Id,:TYPE
319,319,fromContractor
320,320,fromContractor
321,321,fromContractor
322,322,fromContractor
323,323,fromContractor
324,324,fromContractor
325,325,fromContractor
326,326,fromContractor
327,327,fromContractor
328,328,fromContractor
329,329,fromContractor
330,330,fromContractor
331,331,fromContractor
332,332,fromContractor
333,333,fromContractor
334,334,fromContractor
335,335,fromContractor
336,336,fromContractor
337,337,fromContractor
338,338,fromContractor
339,339,fromContractor
340,340,fromContractor
341,341,fromContractor
342,342,fromContractor
343,343,fromContractor
344,344,fromContractor
345,345,fromContractor
346,346,fromContractor
347,347,fromContractor
348,348,fromContractor
349,349,fromContractor
350,350,fromContractor
351,351,fromContractor
352,352,fromContractor
353,353,fromContractor
354,354,fromContractor
355,355,fromContractor
356,356,fromContractor
357,357,fromContractor
358,358,fromContractor
359,359,fromContractor
360,360,fromContractor
361,361,fromContractor
362,362,fromContractor
363,363,fromContractor
364,364,fromContractor
365,365,fromContractor
366,366,fromContractor
367,367,fromContractor
368,368,fromContractor
369,369,fromContractor
370,370,fromContractor
371,371,fromContractor
372,372,fromContractor
373,373,fromContractor
374,374,fromContractor
375,375,fromContractor
376,376,fromContractor
377,377,fromContractor
378,378,fromContractor
379,379,fromContractor
380,380,fromContractor
381,381,fromContractor
382,382,fromContractor
383,383,fromContractor
384,384,fromContractor
385,385,fromContractor
386,386,fromContractor
387,387,fromContractor
388,388,fromContractor
389,389,fromContractor
390,390,fromContractor
391,391,fromContractor
392,392,fromContractor
393,393,fromContractor
394,394,fromContractor
395,395,fromContractor
396,396,fromContractor
397,397,fromContractor
398,398,fromContractor
399,399,fromContractor
400,400,fromContractor
401,401,fromContractor
402,402,fromContractor
403,403,fromContractor
404,404,fromContractor
405,405,fromContractor
406,406,fromContractor
407,407,fromContractor
408,408,fromContractor
409,409,fromContractor
410,410,fromContractor
411,411,fromContractor
412,412,fromContractor
413,413,fromContractor
414,414,fromContractor
415,415,fromContractor
416,416,fromContractor
417,417,fromContractor
418,418,fromContractor
419,419,fromContractor
420,420,fromContractor
421,421,fromContractor
422,422,fromContractor
423,423,fromContractor
424,424,fromContractor
425,425,fromContractor
426,426,fromContractor
427,427,fromContractor
428,428,fromContractor
429,429,fromContractor
430,430,fromContractor
431,431,fromContractor
432,432,fromContractor
433,433,fromContractor
434,434,fromContractor
435,435,fromContractor
436,436,fromContractor
437,437,fromContractor
438,438,fromContractor
439,439,fromContractor
440,440,fromContractor
441,441,fromContractor
442,442,fromContractor
443,443,fromContractor
444,444,fromContractor
445,445,fromContractor
446,446,fromContractor
447,447,fromContractor
448,448,fromContractor
449,449,fromContractor
450,450,fromContractor
451,451,fromContractor
452,452,fromContractor
453,453,fromContractor
454,454,fromContractor
455,455,fromContractor
